name,bus,p_mw,vm_pu,sn_mva,min_q_mvar,max_q_mvar,scaling,slack,in_service,zone,slack_weight,min_p_mw,max_p_mw,bus_name,type,controllable,max_vm_pu,min_vm_pu,in_service_old_bess
Tynagh OCGT,1453,75,1.05,,-98.27654745,98.27654745,1,FALSE,TRUE,3,0,75,299,51772,9,TRUE,1.1,0.9,
Tynagh North,1453,75,1.05,,-115.0394368,115.0394368,1,FALSE,TRUE,3,0,75,350,51772,9,TRUE,1.1,0.9,
Tarbert BESS,1456,0,1,105,-32.86841052,32.86841052,1,FALSE,TRUE,5,0,-100,100,,14,TRUE,1.1,0.9,
Ballysumahan BESS,1465,0,1,210,-65.73682104,65.73682104,1,FALSE,TRUE,2,0,-200,200,,14,TRUE,1.1,0.9,
Ballinrea Solar,1484,0,1,,-18.07762578,18.07762578,1,FALSE,TRUE,10,0,0,55,4721,23,TRUE,1.1,0.9,
Richmond BESS,1485,0,1,157.5,-49.30261578,49.30261578,1,FALSE,TRUE,3,0,-150,150,,14,TRUE,1.1,0.9,
Ballynash Bishop Solar Farm,1488,0,1,,-3.286841052,3.286841052,1,FALSE,FALSE,5,0,0,10,,23,TRUE,1.1,0.9,
Codling Banks,1496,0,1,,-328.5714286,328.5714286,1,FALSE,TRUE,11,0,0,1000,,16,TRUE,1.1,0.9,
Knockbarry Solar Farm (prev Buttevant),1522,0,1,,-1.643420526,1.643420526,1,FALSE,FALSE,5,0,0,5,,23,TRUE,1.1,0.9,
Kilcummer Upper Solar Farm,1522,0,1,,-3.286841052,3.286841052,1,FALSE,FALSE,5,0,0,10,,23,TRUE,1.1,0.9,
Ardagh South BESS,1542,0,1,63,-19.72104631,19.72104631,1,FALSE,TRUE,7,0,-60,60,,14,TRUE,1.1,0.9,
Ballyvatta Solar Extension,1543,0,1,,-13.80473242,13.80473242,1,FALSE,FALSE,10,0,0,42,,23,TRUE,1.1,0.9,
  'Greenlink',1548,-250,1.05,,-163,163,1,FALSE,TRUE,9,0,-530,500,3662,49,TRUE,1.1,0.9,
Tincurry BESS,1551,0,1,63,-19.72104631,19.72104631,1,FALSE,TRUE,9,0,-60,60,,14,TRUE,1.1,0.9,
Ballylough BESS,1551,0,1,26.25,-19.72104631,19.72104631,1,FALSE,TRUE,9,0,-25,25,,14,TRUE,1.1,0.9,
Ballylough Solar Farm,1551,0,1,,-21.69315094,21.69315094,1,FALSE,TRUE,9,0,0,30,,23,TRUE,1.1,0.9,
Tincurry Solar Farm,1551,0,1,,-21.69315094,21.69315094,1,FALSE,TRUE,9,0,0,66,,23,TRUE,1.1,0.9,
Derrycarney Solar,1558,0,1,,-34.51183104,34.51183104,1,FALSE,TRUE,3,0,0,105,,23,TRUE,1.1,0.9,
Lumcloon Solar ,1558,0,1,,-31.22498999,31.22498999,1,FALSE,TRUE,3,0,0,95,,23,TRUE,1.1,0.9,
Derryadd,1566,0,1,,-29.53226685,29.53226685,1,FALSE,TRUE,3,0,0,90,,17,TRUE,1.1,0.9,
Midleton Solar,1566,0,1,,-18.734994,18.734994,1,FALSE,TRUE,3,0,0,57,3501,23,TRUE,1.1,0.9,
Shannon Clean Tech BESS 1,1572,0,1,,-32.86841052,32.86841052,1,FALSE,TRUE,5,0,-100,100,,14,TRUE,1.1,0.9,
Grangeford Solar PV,1580,0,1,,-15.77683705,15.77683705,1,FALSE,TRUE,9,0,0,48,,23,TRUE,1.1,0.9,
     'Garreenleen',1580,0,1,,-26.29472841,26.29472841,1,FALSE,TRUE,9,0,0,81,3341,23,TRUE,1.1,0.9,
     'Garreenleen ph 2',1580,0,1,,-26.29472841,26.29472841,1,FALSE,TRUE,9,0,0,82,3341,23,TRUE,1.1,0.9,
Baunogephlure Solar,1580,0,1,,-14.76613343,14.76613343,1,FALSE,TRUE,9,0,0,45,,23,TRUE,1.1,0.9,
Baunogephlure BESS,1580,0,1,,-19.6881779,19.6881779,1,FALSE,TRUE,9,0,-60,60,,14,TRUE,1.1,0.9,
Grangeford Solar PV ph 2,1580,0,1,,-7.231050314,7.231050314,1,FALSE,TRUE,9,0,0,22,,23,TRUE,1.1,0.9,
Kellistown Battery Storage,1580,0,1,,-32.86841052,32.86841052,1,FALSE,TRUE,9,0,-100,100,,14,TRUE,1.1,0.9,
Derrynahinch Solar Farm,1589,0,1,,-3.286841052,3.286841052,1,FALSE,FALSE,9,0,0,10,,23,TRUE,1.1,0.9,
